EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
512388,ORLEANS PAR.,MC DOLOGHVILLE,05/09/2014,2107,Flash Flood, , ,0,0,0,0,LA,CST-6, ,84867,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,1,WNW,3,N,VIEUX CARRE,05/09/2014,2230,29.9377,-90.0645,30.0079,-90.0824,"Local news media showed live footage of multiple high water rescues across the city of New Orleans.","Very moist and unstable air surged northward over southeast Louisiana and southern Mississippi ahead of a cold front moving through the Great Plains. Thunderstorms developed in this moist airmass, producing very heavy rainfall, which caused flash flooding.",11
563997,ORLEANS PAR.,CHEF MENTEUR,04/14/2015,1045,Flash Flood, , ,0,0,0,0,LA,CST-6, ,93831,C,71,LIX,0,0,Emergency Manager,Heavy Rain, , ,0,N,3,SSW,SOUTH PT,04/14/2015,1200,30.07,-89.8,30.1131,-89.8908,"Numerous flooded and impassable streets were reported in East New Orleans with several cars stalled in the flood waters.","A stationary front over southeast Louisiana provided the focus for the development of several rounds of thunderstorms over southeast Louisiana and southern Mississippi. Torrential rain produced several reports of flash flooding.",12
569270,ORLEANS PAR.,NEW ORLEANS,05/31/2015,1415,Flash Flood, , ,0,0,0,0,LA,CST-6, ,94719,C,71,LIX,0,0,Emergency Manager,Heavy Rain, , ,3,SW,2,WSW,MC DOLOGHVILLE,05/31/2015,1600,29.9193,-90.1284,29.9234,-90.0817,"Orleans Parish Emergency Management reported extensive street flooding in New Orleans Lakeview, Lakefront and Mid City areas with some streets impassible.","A nearly stationary area of thunderstorms produced very heavy rainfall and flash flooding during the afternoon of the 31st.",13
623206,ORLEANS PAR.,NEW ORLEANS LAKEFRON,04/01/2016,1030,Flash Flood, , ,0,0,0,0,LA,CST-6, ,104136,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,0,N,4,NNW,VIEUX CARRE,04/01/2016,1230,30.05,-90.03,30.0201,-90.1147,"Numerous streets were reported impassible with several cars flooded in the Mid City and Lakeview areas.","A slow moving cold front moved into a very unstable airmass over Louisiana, Mississippi and the northern Gulf of Mexico. Strong to severe thunderstorms developed in advance of the front during the day. At least one waterspout was reported, as well as hail and strong winds.",14
713244,ORLEANS PAR.,VIEUX CARRE,08/05/2017,1455,Flash Flood, , ,0,0,5000000,0,LA,CST-6, ,118725,C,71,LIX,0,0,Emergency Manager,Heavy Rain, , ,3,NW,2,NNW,NEW ORLEANS,08/05/2017,2100,30.0091,-90.1165,29.9711,-90.1148,"Thunderstorms repeatedly developed over the same area of New Orleans from the mid afternoon into early evening producing 4 to 9 inches of rain during a 3 to 5 hour period. The rainfall overwhelmed the drainage system leading to widespread and deep street flooding. Many streets were impassable from the Mid City area to just north of the French Quarter and Central Business District, and road and highway underpasses were deeply flooded . Numerous automobiles were also damaged by the flooding.  Water entered at least several hundred homes and a number of businesses, with estimates likely to increase as claims are processed.","A weaken frontal boundary along the Interstate 10 corridor in southeast Louisiana and south Mississippi along with local land-lake/sea breeze interaction aided in the development of thunderstorms producing heavy rain along this corridor on all 3 days. Reports of flash flooding were received from the New Orleans area on the 4th and 5th, and the Gulfport-Biloxi area on the 6th.",15
713248,ORLEANS PAR.,VIEUX CARRE,08/08/2017,1900,Flash Flood, , ,0,0,0,0,LA,CST-6, ,118727,C,71,LIX,0,0,Public,Heavy Rain, , ,3,N,4,NNW,VIEUX CARRE,08/08/2017,2000,30.01,-90.08,30.0189,-90.1164,"Multiple roads were reported flooded around City Park and Lakeview toward the University of New Orleans. The report was relayed by social media.","A weak trough of low pressure combined with a very moist airmass to aid the development of nearly stationary thunderstorms, which produced one report of flash flooding in the New Orleans area.",16
720034,ORLEANS PAR.,VIEUX CARRE,10/02/2017,1115,Flash Flood, , ,0,0,0,0,LA,CST-6, ,120170,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,1,N,1,NNE,VIEUX CARRE,10/02/2017,1230,29.99,-90.0788,29.9823,-90.0728,"Local broadcast media reported cars stalled in flood waters at underpass near Paris Avenue and Gentilly Boulevard.","A tropical wave moving westward across the northern Gulf of Mexico produced localized very heavy rainfall over southeast Louisiana during the morning hours of the 2nd. Several reports of significant street flooding were received.",17
720038,ORLEANS PAR.,VIEUX CARRE,10/02/2017,1200,Flash Flood, , ,0,0,0,0,LA,CST-6, ,120170,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,2,NW,2,WNW,VIEUX CARRE,10/02/2017,1300,29.994,-90.1045,29.9801,-90.1032,"Local broadcast media reported cars were stalled in flood waters at the Canal Boulevard Underpass near Homedale Street.","A tropical wave moving westward across the northern Gulf of Mexico produced localized very heavy rainfall over southeast Louisiana during the morning hours of the 2nd. Several reports of significant street flooding were received.",18
752754,ORLEANS PAR.,GENTILLY,05/18/2018,1530,Flash Flood, , ,0,0,0,0,LA,CST-6, ,125512,C,71,LIX,0,0,Emergency Manager,Heavy Rain, , ,1,NW,1,WSW,ALGIERS,05/18/2018,1800,30.027,-90.0409,29.9435,-90.0711,"Extensive street flooding was reported in the Central City, Treme and Bywater neighborhoods of New Orleans. Radar rainfall estimates indicated that 3 to 5 inches of rain fell in a swath from Metairie through City Park and Mid-City, into the Bywater and Lower 9th Ward. Some vehicles were flooded at the height of the storm. Most of the rain fell between 330 pm and 600 pm.","An upper level trough of low pressure over the central Gulf Coast combined with increasingly moist and unstable air to produce several severe thunderstorms during the afternoon hours.",19
756331,ORLEANS PAR.,CUTOFF,07/03/2018,540,Flash Flood, , ,0,0,0,0,LA,CST-6, ,126180,C,71,LIX,0,0,Social Media,Heavy Rain, , ,1,W,4,SSW,MC DOLOGHVILLE,07/03/2018,700,29.92,-90.01,29.8821,-90.0849,"Several reports of street flooding resulting in water rescues across the area.","Low pressure over Chandeleur Sound produced slow moving thunderstorms which produced at least 2 reports of flash flooding in the New Orleans metro area.",20
756334,ORLEANS PAR.,CUTOFF,07/03/2018,635,Flash Flood, , ,0,0,0,0,LA,CST-6, ,126180,C,71,LIX,0,0,Social Media,Heavy Rain, , ,1,W,2,SSE,NEW ORLEANS,07/03/2018,715,29.92,-90.01,29.92,-90.0861,"Several social media reports were received of standing water on some city streets in New Orleans.","Low pressure over Chandeleur Sound produced slow moving thunderstorms which produced at least 2 reports of flash flooding in the New Orleans metro area.",21
767852,ORLEANS PAR.,MC DOLOGHVILLE,08/18/2018,1207,Flash Flood, , ,0,0,0,0,LA,CST-6, ,128025,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,1,W,2,NNE,VIEUX CARRE,08/18/2018,1315,29.9285,-90.0671,30.0006,-90.0628,"Social media posts from local broadcast media outlets showed water entering vehicles in the New Orleans Central Business District.","Collisions between thunderstorm outflow boundaries and lake breeze boundaries produced nearly stationary thunderstorms south of Lake Pontchartrain. Several reports of flooding were received from the New Orleans Metro area.",22
815764,ORLEANS PAR.,MC DOLOGHVILLE,05/12/2019,530,Flash Flood, , ,0,0,0,0,LA,CST-6, ,135950,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,1,WSW,0,SSW,GENTILLY,05/12/2019,800,29.9245,-90.069,30.0165,-90.032,"Multiple roads and streets were reported closed in the City of New Orleans due to flooding.","A stationary front combined with a strong upper air impulse and very moist air produced multiple bands of thunderstorms. Several areas received multiple rounds of thunderstorms which produced flash flooding.",23
835355,ORLEANS PAR.,NEW ORLEANS,07/10/2019,715,Flash Flood, , ,0,0,0,0,LA,CST-6, ,138875,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,2,NNW,3,SSW,NEW ORLEANS,07/10/2019,1800,29.9793,-90.1214,29.9163,-90.1259,"Four to eight inches of rain fell in less than three hours across portions of the area during the morning commute period produced widespread street flooding across much of New Orleans including French Quarter, Central Business District,  and Uptown areas.","An upper trough, which would eventually become associated with Hurricane Barry, interacted with a tropically very moist airmass to produce slow moving thunderstorms on the 9th and 10th. Several reports of flooding, as well as wind damage were received.",24
835399,ORLEANS PAR.,NEW ORLEANS,07/20/2019,1200,Flash Flood, , ,0,0,0,0,LA,CST-6, ,138890,C,71,LIX,0,0,Emergency Manager,Heavy Rain, , ,0,N,2,SSW,NEW ORLEANS,07/20/2019,1330,29.95,-90.1,29.9203,-90.1205,"Several streets reported street flooding throughout the city of New Orleans, mostly in the Central Business District and French Quarter areas.","A slow moving thunderstorm produced localized flash flooding over the city of New Orleans during the early afternoon hours.",25
842874,ORLEANS PAR.,NEW ORLEANS,08/26/2019,1520,Flash Flood, , ,0,0,0,0,LA,CST-6, ,140100,C,71,LIX,0,0,Social Media,Heavy Rain, , ,2,NW,2,WSW,NEW ORLEANS,08/26/2019,1700,29.9691,-90.1189,29.9366,-90.1316,"Three to five inches of rain fell across part of New Orleans extending into St Bernard Parish during the mid afternoon resulting in widespread street flooding was reported with numerous streets impassible. Several cars were stalled in the flood waters. Water was reported entering several buildings in the Central Business District of New Orleans.","Nearly stationary thunderstorms produced flash flooding in New Orleans Central Business District during the late afternoon hours.",26
899389,ORLEANS PAR.,GENTILLY,06/10/2020,754,Flash Flood, , ,0,0,0,0,LA,CST-6, ,149189,C,71,LIX,0,0,Public,Heavy Rain, , ,2,WSW,1,N,ALGIERS,06/10/2020,854,30.0076,-90.0529,29.9661,-90.0513,"Social media pictures showed flooding of several roadways across the city of New Orleans. In some cases, the water was 3 to 4 feet deep.","A slow moving frontal boundary stalled across the area. At the same time, the morning upper air sounding showed atmospheric moisture in the column to be well over 2 inches. High moisture combined with a slow moving focus created an environment conducive for heavy rainfall.",27
949948,ORLEANS PAR.,VIEUX CARRE,03/23/2021,1300,Flash Flood, , ,0,0,0,0,LA,CST-6, ,157150,C,71,LIX,0,0,Emergency Manager,Heavy Rain, , ,1,N,1,NE,VIEUX CARRE,03/23/2021,1300,29.9841,-90.0781,29.9781,-90.0673,"Numerous streets flooded and some impassible. Flooding reported in the following areas of New Orleans: dauphine/iberville, chippewa/third, tchoupitoulas/louisiana, charters/homer, paris/gentilly, haynes/downman, oak/carrollton, poydras/camp, carrollton/maple, carrollton/hampson.","During the daytime hours on March 23rd through March 24th, a deep west coast trough helped to deliver progressive yet strong southwesterly upper-level to mid-level moist flow across the northern Gulf coast. At the surface, a complex of strong to severe thunderstorms approached the area from the west, quickly advancing east causing widespread severe thunderstorms and areas of flash flooding. Another round of thunderstorms developed during the day on March 24th.",28
960511,ORLEANS PAR.,VIEUX CARRE,05/05/2021,730,Flash Flood, , ,0,0,0,0,LA,CST-6, ,158886,C,71,LIX,0,0,Public,Heavy Rain, , ,3,NW,4,NNW,VIEUX CARRE,05/05/2021,730,29.9964,-90.1157,30.0198,-90.1139,"Report of street flooding in the Lakeview area of New Orleans due to heavy rain.","In the early morning hours on May 5th 2021, a cold front and associated band of showers and storms pushed across portions of southeastern Louisiana. This cluster of storms would eventually slow down as the cold front stalled across the northern Gulf leading to flash flooding across a few locations of southeastern Louisiana.",29
960506,ORLEANS PAR.,NEW ORLEANS,05/10/2021,220,Flash Flood, , ,0,0,0,0,LA,CST-6, ,158883,C,71,LIX,0,0,County Official,Heavy Rain, , ,3,NNW,3,NW,VIEUX CARRE,05/10/2021,220,29.9812,-90.1221,30.0023,-90.1214,"Several underpasses closed due to flooding in the city of New Orleans after 1.5 inches of rain in 30 minutes.","In the early morning hours on May 10th, 2021, slow moving thunderstorms from a stalled frontal boundary delivered flash flooding to portions of the southshore of southeastern Louisiana.",30
960557,ORLEANS PAR.,NEW ORLEANS,05/18/2021,450,Flash Flood, , ,0,0,0,0,LA,CST-6, ,158892,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,2,W,2,WSW,NEW ORLEANS,05/18/2021,550,29.9458,-90.1356,29.9319,-90.1359,"Report of several streets impassable in across portions of New Orleans, mostly in the Uptown Area.","In the overnight hours on May 17th into the early morning on May 18th, a cluster of slow moving severe thunderstorms associated with a weak mid-level disturbance drifted east across southeastern Louisiana. Ample overnight instability and weak steering flow resulted in damaging wind gusts, flash flooding and a few isolated weak tornadoes.",31
968096,ORLEANS PAR.,VIEUX CARRE,06/21/2021,1430,Flash Flood, , ,0,0,15000,0,LA,CST-6, ,160008,C,71,LIX,0,0,Public,Heavy Rain, , ,2,NW,1,NW,VIEUX CARRE,06/21/2021,1430,29.99,-90.1,29.9809,-90.0966,"An SUV stalled out in the underpass at Marconi Drive due to high water.","An upper level trough brought a cold front to the region. Ahead of this cold front, moisture levels through the atmospheric column increased to above the 90th percentile for this time of year. Ample instability in place combine with the abundant moisture and lift from the frontal boundary set the stage for numerous thunderstorms producing heavy rainfall and flash flooding.",32
968097,ORLEANS PAR.,VIEUX CARRE,06/21/2021,1500,Flash Flood, , ,0,0,0,0,LA,CST-6, ,160008,C,71,LIX,0,0,Public,Heavy Rain, , ,3,NW,2,NNW,VIEUX CARRE,06/21/2021,1500,30,-90.12,30.0017,-90.0991,"A member of the public reported roads to be impassable due to water 1 foot deep flowing over roadways.","An upper level trough brought a cold front to the region. Ahead of this cold front, moisture levels through the atmospheric column increased to above the 90th percentile for this time of year. Ample instability in place combine with the abundant moisture and lift from the frontal boundary set the stage for numerous thunderstorms producing heavy rainfall and flash flooding.",33
968101,ORLEANS PAR.,VIEUX CARRE,06/21/2021,1530,Flash Flood, , ,0,0,0,0,LA,CST-6, ,160008,C,71,LIX,0,0,Public,Heavy Rain, , ,2,NW,2,NW,VIEUX CARRE,06/21/2021,1530,29.99,-90.11,29.9913,-90.1082,"The Canal Boulevard underpass was impassible due to high water.","An upper level trough brought a cold front to the region. Ahead of this cold front, moisture levels through the atmospheric column increased to above the 90th percentile for this time of year. Ample instability in place combine with the abundant moisture and lift from the frontal boundary set the stage for numerous thunderstorms producing heavy rainfall and flash flooding.",34
968102,ORLEANS PAR.,VIEUX CARRE,06/21/2021,1610,Flash Flood, , ,0,0,0,0,LA,CST-6, ,160008,C,71,LIX,0,0,Public,Heavy Rain, , ,3,NNW,4,NW,VIEUX CARRE,06/21/2021,1610,30.01,-90.1,30.012,-90.1134,"A member reported water covering multiple streets and lawns.","An upper level trough brought a cold front to the region. Ahead of this cold front, moisture levels through the atmospheric column increased to above the 90th percentile for this time of year. Ample instability in place combine with the abundant moisture and lift from the frontal boundary set the stage for numerous thunderstorms producing heavy rainfall and flash flooding.",35
968134,ORLEANS PAR.,MC DOLOGHVILLE,06/23/2021,1156,Flash Flood, , ,0,0,0,0,LA,CST-6, ,160169,C,71,LIX,0,0,Public,Heavy Rain, , ,1,W,1,WNW,MC DOLOGHVILLE,06/23/2021,1156,29.93,-90.07,29.9349,-90.0697,"Numerous roads in the Lower Garden District were flooded.","A sea breeze boundary became the focus for afternoon thunderstorms. As storms began to develop, weak steering winds prevented them from moving very much. This resulted in heavy rain over an extended period which led to flash flooding in the New Orleans area.",36
974411,ORLEANS PAR.,VIEUX CARRE,07/03/2021,1320,Flash Flood, , ,0,0,0,0,LA,CST-6, ,161353,C,71,LIX,0,0,Broadcast Media,Heavy Rain, , ,1,SE,1,SE,VIEUX CARRE,07/03/2021,1320,29.96,-90.07,29.9603,-90.0697,"Media reports high water on street in the French Quarter at Rampart Street.","In the afternoon and evening hours on July 2nd, a stalled frontal boundary draped across northern Louisiana, central Mississippi and Alabama. This left moist, unstable air across southern Louisiana and much drier continental air to the north. This boundary, along with a upper-level weak disturbance helped ignite slow-moving scattered showers and thunderstorms that led to flash flooding.",37
974414,ORLEANS PAR.,ALGIERS,07/03/2021,1330,Flash Flood, , ,0,0,0,0,LA,CST-6, ,161353,C,71,LIX,0,0,Public,Heavy Rain, , ,2,NE,2,ENE,ALGIERS,07/03/2021,1330,29.97,-90.02,29.9699,-90.0155,"Video on social media shows flooded street in lower ninth ward. Water has gotten up to  almost the bumper of a car.","In the afternoon and evening hours on July 2nd, a stalled frontal boundary draped across northern Louisiana, central Mississippi and Alabama. This left moist, unstable air across southern Louisiana and much drier continental air to the north. This boundary, along with a upper-level weak disturbance helped ignite slow-moving scattered showers and thunderstorms that led to flash flooding.",38
974415,ORLEANS PAR.,VIEUX CARRE,07/03/2021,1340,Flash Flood, , ,0,0,0,0,LA,CST-6, ,161353,C,71,LIX,0,0,NWS Employee,Heavy Rain, , ,0,N,0,N,VIEUX CARRE,07/03/2021,1340,29.97,-90.08,29.9738,-90.0794,"NWS employee reports multiple flooded streets at intersections and Broad Street is down to one lane in New Orleans near Mid City.","In the afternoon and evening hours on July 2nd, a stalled frontal boundary draped across northern Louisiana, central Mississippi and Alabama. This left moist, unstable air across southern Louisiana and much drier continental air to the north. This boundary, along with a upper-level weak disturbance helped ignite slow-moving scattered showers and thunderstorms that led to flash flooding.",39
974420,ORLEANS PAR.,CUTOFF,07/05/2021,342,Flash Flood, , ,0,0,0,0,LA,CST-6, ,161355,C,71,LIX,0,0,Public,Heavy Rain, , ,2,SSE,1,SSE,CUTOFF,07/05/2021,342,29.9,-89.99,29.9006,-89.9904,"Street closed due to flash flooding.","In the early morning hours on July 5th, a cluster of slow moving thunderstorms caused by a nearby stalled frontal boundary and weak upper-level disturbance delivered areas of flash flooding across southeastern Louisiana.",40
